Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
sitewhere-2.1.0-0c184b5,com.sitewhere.event.persistence.influxdb,InfluxDbDeviceEvent,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: COLLECTION_EVENTS; EVENT_ID; ALTERNATE_ID; EVENT_TYPE; EVENT_DEVICE; EVENT_ASSIGNMENT; EVENT_CUSTOMER; EVENT_AREA; EVENT_ASSET; RECEIVED_DATE; EVENT_METADATA_PREFIX
sitewhere-2.1.0-0c184b5,com.sitewhere.event.persistence.influxdb,InfluxDbDeviceEvent,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
sitewhere-2.1.0-0c184b5,com.sitewhere.event.persistence.influxdb,InfluxDbDeviceEventManagement,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
sitewhere-2.1.0-0c184b5,com.sitewhere.event.persistence.influxdb,InfluxDbDeviceLocation,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LOCATION_LATITUDE; LOCATION_LONGITUDE; LOCATION_ELEVATION
sitewhere-2.1.0-0c184b5,com.sitewhere.event.persistence.influxdb,InfluxDbDeviceMeasurements,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: MX_NAME; MX_VALUE
sitewhere-2.1.0-0c184b5,com.sitewhere.event.persistence.influxdb,InfluxDbDeviceStateChange,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: STATE_CHANGE_ATTRIBUTE; STATE_CHANGE_TYPE; PREVIOUS_VALUE; UPDATED_VALUE
sitewhere-2.1.0-0c184b5,com.sitewhere.event.persistence.mongodb,IDeviceEventManagementMongoClient,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_EVENTS_COLLECTION_NAME
sitewhere-2.1.0-0c184b5,com.sitewhere.event.persistence.mongodb,MongoDeviceAlert,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROP_SOURCE; PROP_LEVEL; PROP_TYPE; PROP_MESSAGE
sitewhere-2.1.0-0c184b5,com.sitewhere.event.persistence.mongodb,MongoDeviceCommandInvocation,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROP_INITIATOR; PROP_INITIATOR_ID; PROP_TARGET; PROP_TARGET_ID; PROP_COMMAND_ID; PROP_PARAMETER_VALUES
sitewhere-2.1.0-0c184b5,com.sitewhere.event.persistence.mongodb,MongoDeviceCommandResponse,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROP_ORIGINATING_EVENT_ID; PROP_RESPONSE_EVENT_ID; PROP_RESPONSE
sitewhere-2.1.0-0c184b5,com.sitewhere.event.persistence.mongodb,MongoDeviceEvent,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROP_ID; PROP_ALTERNATE_ID; PROP_EVENT_TYPE; PROP_DEVICE_ID; PROP_DEVICE_ASSIGNMENT_ID; PROP_CUSTOMER_ID; PROP_AREA_ID; PROP_ASSET_ID; PROP_EVENT_DATE; PROP_RECEIVED_DATE
sitewhere-2.1.0-0c184b5,com.sitewhere.event.persistence.mongodb,MongoDeviceEventManagement,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16
sitewhere-2.1.0-0c184b5,com.sitewhere.event.persistence.mongodb,MongoDeviceEventManagementPersistence,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
sitewhere-2.1.0-0c184b5,com.sitewhere.event.persistence.mongodb,MongoDeviceLocation,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROP_LATLONG; PROP_LATITUDE; PROP_LONGITUDE; PROP_ELEVATION
sitewhere-2.1.0-0c184b5,com.sitewhere.event.persistence.mongodb,MongoDeviceMeasurement,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROP_NAME; PROP_VALUE
sitewhere-2.1.0-0c184b5,com.sitewhere.event.persistence.mongodb,MongoDeviceStateChange,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROP_ATTRIBUTE; PROP_TYPE; PROP_PREVIOUS_STATE; PROP_NEW_STATE
sitewhere-2.1.0-0c184b5,com.sitewhere.event.spring,EventManagementParser,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
sitewhere-2.1.0-0c184b5,com.sitewhere.sources.azure,EventHubInboundEventReceiver.EventProcessor,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
sitewhere-2.1.0-0c184b5,com.sitewhere.sources,DecodedInboundEventSource.NoOpDecoder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
sitewhere-2.1.0-0c184b5,com.sitewhere.sources,EventSourcesManager,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
sitewhere-2.1.0-0c184b5,com.sitewhere.sources,SocketTests,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SERVER_SOCKET_PORT
sitewhere-2.1.0-0c184b5,com.sitewhere.sources.configuration,EventSourcesModelProvider,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
sitewhere-2.1.0-0c184b5,com.sitewhere.sources.decoder.coap,CoapJsonDecoder,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: META_EVENT_TYPE; META_DEVICE_TOKEN
sitewhere-2.1.0-0c184b5,com.sitewhere.sources.microservice,EventSourcesMicroservice,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: NAME
sitewhere-2.1.0-0c184b5,com.sitewhere.sources.mqtt,MqttCallbackInboundEventReceiver,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_HOSTNAME; DEFAULT_PORT; DEFAULT_CONNECT_TIMEOUT_SECS; DEFAULT_TOPIC
sitewhere-2.1.0-0c184b5,com.sitewhere.sources.mqtt,MqttInboundEventReceiver,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_TOPIC; DEFAULT_NUM_THREADS; DEFAULT_QoS
sitewhere-2.1.0-0c184b5,com.sitewhere.sources.socket,GroovySocketInteractionHandler,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: VAR_SOCKET; VAR_EVENT_RECEIVER
sitewhere-2.1.0-0c184b5,com.sitewhere.sources.socket,GroovySocketInteractionHandler.Factory,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
sitewhere-2.1.0-0c184b5,com.sitewhere.sources.socket,HttpInteractionHandler.Factory,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
sitewhere-2.1.0-0c184b5,com.sitewhere.sources.socket,ReadAllInteractionHandler.Factory,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
sitewhere-2.1.0-0c184b5,com.sitewhere.sources.spi,ICompositeDeviceEventDecoder.IDecoderChoice,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
sitewhere-2.1.0-0c184b5,com.sitewhere.sources.spi,ICompositeDeviceEventDecoder.IMessageMetadata,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
sitewhere-2.1.0-0c184b5,com.sitewhere.sources.spi,ICompositeDeviceEventDecoder.IDeviceContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
sitewhere-2.1.0-0c184b5,com.sitewhere.sources.spi,ICompositeDeviceEventDecoder.IMessageMetadataExtractor,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
sitewhere-2.1.0-0c184b5,com.sitewhere.sources.spi,IDeviceEventDecoder,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: META_DEVICE; META_DEVICE_TYPE
sitewhere-2.1.0-0c184b5,com.sitewhere.sources.spring,EventSourcesParser,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 23
sitewhere-2.1.0-0c184b5,com.sitewhere.sources.websocket,BinaryWebSocketEventReceiver.BinaryWebSocketClient,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
sitewhere-2.1.0-0c184b5,com.sitewhere.sources.websocket,StringWebSocketEventReceiver.StringWebSocketClient,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
sitewhere-2.1.0-0c184b5,com.sitewhere.sources.websocket,WebSocketEventReceiver,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROP_EVENT_RECEIVER
sitewhere-2.1.0-0c184b5,com.sitewhere.inbound.microservice,InboundProcessingTenantEngine,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
sitewhere-2.1.0-0c184b5,com.sitewhere.instance.configuration,InstanceManagementModelProvider,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
sitewhere-2.1.0-0c184b5,com.sitewhere.instance.microservice,InstanceManagementMicroservice,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16
sitewhere-2.1.0-0c184b5,com.sitewhere.instance.spi.templates,IInstanceTemplate.Initializers,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
sitewhere-2.1.0-0c184b5,com.sitewhere.instance.templates,InstanceTemplate.Initializers,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
sitewhere-2.1.0-0c184b5,com.sitewhere.instance.tenant.templates,TenantTemplateManager,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
