Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
sitewhere-3.0.0-fc6441d,com.sitewhere.sources.manager,EventSourcesParser,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 19
sitewhere-3.0.0-fc6441d,com.sitewhere.sources.socket,HttpInteractionHandler.Factory,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
sitewhere-3.0.0-fc6441d,com.sitewhere.sources.socket,ReadAllInteractionHandler.Factory,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
sitewhere-3.0.0-fc6441d,com.sitewhere.sources.socket,ScriptedSocketInteractionHandler,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: VAR_SOCKET; VAR_EVENT_RECEIVER
sitewhere-3.0.0-fc6441d,com.sitewhere.sources.socket,ScriptedSocketInteractionHandler.Factory,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
sitewhere-3.0.0-fc6441d,com.sitewhere.sources.spi,ICompositeDeviceEventDecoder.IDecoderChoice,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
sitewhere-3.0.0-fc6441d,com.sitewhere.sources.spi,ICompositeDeviceEventDecoder.IMessageMetadata,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
sitewhere-3.0.0-fc6441d,com.sitewhere.sources.spi,ICompositeDeviceEventDecoder.IDeviceContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
sitewhere-3.0.0-fc6441d,com.sitewhere.sources.spi,ICompositeDeviceEventDecoder.IMessageMetadataExtractor,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
sitewhere-3.0.0-fc6441d,com.sitewhere.sources.spi,IDeviceEventDecoder,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: META_DEVICE; META_DEVICE_TYPE
sitewhere-3.0.0-fc6441d,com.sitewhere.sources.websocket,BinaryWebSocketEventReceiver.BinaryWebSocketClient,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
sitewhere-3.0.0-fc6441d,com.sitewhere.sources.websocket,StringWebSocketEventReceiver.StringWebSocketClient,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
sitewhere-3.0.0-fc6441d,com.sitewhere.sources.websocket,WebSocketEventReceiver,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROP_EVENT_RECEIVER
sitewhere-3.0.0-fc6441d,com.sitewhere.instance.microservice,InstanceBootstrapper,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: FA_TENANT_MANGEMENT; FA_USER_MANGEMENT
sitewhere-3.0.0-fc6441d,com.sitewhere.web.auth,BasicAuthForJwt,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: AUTHORIZATION_HEADER
sitewhere-3.0.0-fc6441d,com.sitewhere.labels.manager,DefaultEntityUriProvider,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SITEWHERE_PROTOCOL; INSTANCE
sitewhere-3.0.0-fc6441d,com.sitewhere.labels.manager,LabelGeneratorsParser,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: TYPE_QRCODE
sitewhere-3.0.0-fc6441d,com.sitewhere.connectors.configuration.connector,MqttOutboundConnectorConfiguration,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_PROTOCOL; DEFAULT_HOSTNAME; DEFAULT_PORT
sitewhere-3.0.0-fc6441d,com.sitewhere.connectors.manager,OutboundConnectorsParser,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: TYPE_MQTT
sitewhere-3.0.0-fc6441d,com.sitewhere.schedule.persistence.rdb.entity,Queries,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: QUERY_SCHEDULE_BY_TOKEN; QUERY_SCHEDULED_JOB_BY_TOKEN
