Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
TeaStore-1.4.2-14648b7,tools.descartes.teastore.image.setup,CreatorRunner,run,Long Statement,The length of the statement "Files.write(imgFile`Base64.getEncoder().encode(stream.toByteArray())`StandardOpenOption.CREATE`StandardOpenOption.WRITE`StandardOpenOption.TRUNCATE_EXISTING);" is 158.,65
TeaStore-1.4.2-14648b7,tools.descartes.teastore.image.setup,CreatorRunner,run,Long Statement,The length of the statement "log.warn("An IOException occured while writing image with ID " + String.valueOf(imgID) + " to file "+ imgFile.toAbsolutePath()+ "."`ioException);" is 145.,65
TeaStore-1.4.2-14648b7,tools.descartes.teastore.image.setup,CreatorRunner,run,Long Statement,The length of the statement "log.warn("An exception was thrown during image creation with ID " + String.valueOf(imgID) + " to file "+ imgFile.toAbsolutePath()+ "."`ioException);" is 148.,65
TeaStore-1.4.2-14648b7,tools.descartes.teastore.image.setup,ImageCreator,createImage,Magic Number,The method contains a magic number: 4,67
TeaStore-1.4.2-14648b7,tools.descartes.teastore.image.setup,ImageCreator,createImage,Magic Number,The method contains a magic number: 2,67
TeaStore-1.4.2-14648b7,tools.descartes.teastore.image.setup,ImageCreator,createImage,Magic Number,The method contains a magic number: 3,67
TeaStore-1.4.2-14648b7,tools.descartes.teastore.image.setup,ImageCreator,createImage,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@47a35edd,67
TeaStore-1.4.2-14648b7,tools.descartes.teastore.image.setup,ImageCreator,drawCategoryImage,Long Statement,The length of the statement "graphics.drawImage(categoryImg`rand.nextInt(maxSize.getWidth() - categoryImg.getWidth())`rand.nextInt(maxSize.getHeight() - categoryImg.getHeight())`categoryImg.getWidth()`categoryImg.getHeight()`null);" is 202.,114
TeaStore-1.4.2-14648b7,tools.descartes.teastore.image.setup,ImageCreator,makeLine,Long Statement,The length of the statement "graphics.drawLine(rand.nextInt(maxSize.getWidth())`rand.nextInt(maxSize.getHeight())`rand.nextInt(maxSize.getWidth())`rand.nextInt(maxSize.getHeight()));" is 153.,142
TeaStore-1.4.2-14648b7,tools.descartes.teastore.image.setup,ImageCreator,makeText,Complex Method,Cyclomatic complexity of the method is 8,164
TeaStore-1.4.2-14648b7,tools.descartes.teastore.image.setup,ImageCreator,makeText,Magic Number,The method contains a magic number: 4,164
TeaStore-1.4.2-14648b7,tools.descartes.teastore.image.setup,ImageCreator,makeText,Magic Number,The method contains a magic number: 2,164
TeaStore-1.4.2-14648b7,tools.descartes.teastore.image.setup,ImageCreator,makeText,Magic Number,The method contains a magic number: 3,164
TeaStore-1.4.2-14648b7,tools.descartes.teastore.image.setup,ImageCreator,makeText,Magic Number,The method contains a magic number: 3,164
TeaStore-1.4.2-14648b7,tools.descartes.teastore.image.setup,ImageCreator,makeText,Magic Number,The method contains a magic number: 2,164
TeaStore-1.4.2-14648b7,tools.descartes.teastore.image.setup,ImageCreator,makeText,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@6d96d646,164
TeaStore-1.4.2-14648b7,tools.descartes.teastore.image.setup,ImageCreator,makeText,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@7495c170,164
